1 '600000' 浦发银行 17.77 -0.03 -0.17% 174122 0.09% 174122 31111 17.80 17.75 17.99 17.74 504435200 33147218 472575181 金融保险 6.90 19.237 17.420% 104145 69977 31111 15.292 0.11 17.87 34.18% 1108  + 34923348 33147218
2 '600004' 白云机场 12.09 +0.08 0.67% 31165 0.27% 31165 3766 12.01 12.03 12.13 12.03 1171833 1390350 228865 交通仓储 11.19③ 1.051 10.025% 14608 16557 3766 8.034  12.08 2.29% 67  - 1390350 1390350
3 '600005' 武钢股份 2.84 +0.03 1.07% 389188 0.39% 389188 11056 2.81 2.81 2.88 2.80 10037086 2866634 6529018 金属材料 -21.52③ -0.0237 -2.880% 147273 241915 11056 3.444  2.84 -11.14% -15938  - 2866634 2866634
4 '600006' 东风汽车 8.27 -0.29 -3.39% 759214 3.80% 759214 63822 8.56 8.50 8.66 8.21 2021794 1654000 1206636 机械仪表 48.03 0.184 5.389% 419445 339769 63822 3.195  8.41 11.25% 1781  + 1654000 1654000
5 '600007' 中国国贸 18.12 -0.22 -1.20% 26600 0.26% 26600 4864 18.34 18.34 18.70 17.99 1021916 1825196 456736 社会服务 29.23 1.136 11.108% 14679 11921 4864 5.609  18.28 -45.10% -345  + 1825196 1825196
6 '600008' 首创股份 3.78 +0.01 0.27% 165606 0.69% 165606 6269 3.77 3.79 3.80 3.77 3612520 911096 2432489 供水供电 16.87 0.418 7.116% 73866 91740 6269 3.541  3.79 -14.65% -6576  - 911096 911096
7 '600009' 上海机场 26.58 +0.07 0.26% 40970 0.37% 40970 10896 26.51 26.54 26.73 26.47 2563942 2906460 494170 交通仓储 20.29 1.664 12.458% 24145 16825 10896 10.545 0.31 26.59 -58.13% -583  + 5121856 2906460
8 '600010' 包钢股份 2.86 +0.03 1.06% 763372 0.48% 763372 21912 2.83 2.83 2.90 2.83 14493216 4502219 9762863 金属材料 -22.20 -0.0299 -7.020% 337841 425531 21912 1.446  2.87 -38.06% -86757  - 9312371 4502219
9 '600011' 华能国际 7.26 +0.03 0.41% 57620 0.05% 57620 4197 7.23 7.22 7.33 7.22 29972973 7623000 20378986 供水供电 7.64 2.787 17.361% 29529 28091 4197 5.224 0.94 7.28 27.23% 2587  + 9550387 7623000
10 '600012' 皖通高速 13.96 +0.02 0.14% 69339 0.59% 69339 9647 13.94 13.87 14.10 13.81 1214070 1627178 323392 交通仓储 24.69 0.917 11.555% 36256 33083 9647 4.894 0.74 13.91 -72.94% -1779  - 1849630 1627178
11 '600015' 华夏银行 9.93 -0.00 0.00% 211645 0.27% 211645 21052 9.93 9.94 9.99 9.91 202060403 7730728 190221594 金融保险 5.61 0.150 16.046% 111071 100574 21052 11.010  9.95 21.25% 4615  - 10610773 7730728
12 '600016' 民生银行 9.08 +0.06 0.67% 573205 0.19% 573205 52014 9.02 9.01 9.12 9.01 452068813 26833006 421090509 金融保险 6.98 6.170 15.308% 295107 278098 52014 8.260 0.71 9.07 -56.47% -29103  + 30686020 26833006
13 '600017' 日照港   4.07 +0.02 0.49% 96211 0.31% 96211 3917 4.05 4.06 4.09 4.05 1859632 1251791 735069 交通仓储 40.70 0.372 3.045% 50619 45592 3917 3.291 0.11 4.07 -45.52% -16652  + 1251791 1251791
14 '600018' 上港集团 5.03 -0.00 0.00% 71441 0.03% 71441 3603 5.03 5.04 5.07 5.02 9851492 11445857 3137036 交通仓储 17.63 0.417 11.009% 40562 30879 3603 2.572 0.19 5.04 -9.03% -2006  + 11656359 11445857
15 '600019' 宝钢股份 5.01 +0.02 0.40% 437616 0.27% 437616 21990 4.99 5.00 5.08 4.99 23412314 8228564 11197672 金属材料 83.50 1.286 0.898% 201457 236159 21990 6.850  5.03 18.12% 10413  - 8250227 8228564
16 '600020' 中原高速 4.38 +0.03 0.69% 97337 0.43% 97337 4270 4.35 4.36 4.41 4.34 4446393 984349 3250097 交通仓储 6.71③ 0.820 12.844% 50455 46882 4270 5.311  4.39 13.18% 5578  - 984349 984349
17 '600021' 上海电力 10.27 -0.03 -0.29% 69244 0.32% 69244 7142 10.30 10.30 10.41 10.21 5199076 2197513 3623969 供水供电 16.49 2.164 12.990% 37269 31975 7142 4.794  10.31 53.16% 3280  + 2197513 2197513
18 '600022' 山东钢铁 2.40 +0.03 1.27% 282119 0.44% 282119 6775 2.37 2.37 2.44 2.37 6090128 1544711 3864760 金属材料 -15.45③ 0.0938 -4.915% 106427 175692 6775 1.873  2.40 -35.78% -33562  - 2020902 1544711
19 '600023' 浙能电力 5.49 +0.02 0.37% 351028 1.17% 351028 19179 5.47 5.45 5.51 5.42 10366231 1640192 3979430 供水供电 10.17 0.930 12.543% 190594 160434 19179 4.089  5.46 -73.43% -21370  - 7466779 1640192
20 '600026' 中海发展 5.96 +0.02 0.34% 137791 0.50% 137791 8234 5.94 5.95 6.02 5.94 6837866 1630676 4185545 交通仓储 60.82 1.281 1.516% 75574 62217 8234 6.373 0.77 5.98 -9.30% -1352  + 2082078 1630676
21 '600027' 华电国际 5.27 +0.01 0.19% 156492 0.26% 156492 8268 5.26 5.28 5.31 5.25 20665520 3130410 15075554 供水供电 6.26 3.196 18.159% 84481 72011 8268 4.296 1.57 5.28 -53.26% -17881  - 4786255 3130410
22 '600028' 中国石化 4.70 +0.01 0.21% 437870 0.05% 437870 20586 4.69 4.69 4.72 4.68 144312896 44912152 65750598 采掘业 17.67 1.372 4.769% 195301 242569 20586 5.588 0.58 4.70 -29.76% -47447  - 55313316 44912152
23 '600029' 南方航空 7.12 +0.20 2.89% 781809 1.11% 781809 56052 6.92 7.05 7.31 7.05 18625000 5000127 13667699 交通仓储 18.26 2.619 9.883% 395938 385871 56052 3.969 1.39 7.17 -49.27% -13653  - 5951483 5000127
24 '600030' 中信证券 15.67 +0.03 0.19% 706809 0.72% 706809 111594 15.64 15.67 16.00 15.62 61610822 15379576 47437117 金融保险 9.16 7.118 14.230% 367317 339492 111594 11.483 1.01 15.79 33.48% 5718  + 18360408 15379576
25 '600031' 三一重工 5.02 +0.04 0.80% 193049 0.25% 193049 9671 4.98 4.97 5.02 4.97 6019789 3812041 3654066 机械仪表 376.50③ 0.0858 0.170% 77172 115877 9671 2.978  5.01 -44.96% -22019  - 3823485 3812041
26 '600033' 福建高速 3.16 +0.02 0.64% 75768 0.28% 75768 2398 3.14 3.14 3.19 3.14 1831540 867230 849938 交通仓储 15.74 0.838 6.842% 37628 38140 2398 2.933  3.16 -38.08% -14501  - 867230 867230
27 '600035' 楚天高速            890341  481464 交通仓储  0.474 10.564%    2.799        
28 '600036' 招商银行 17.50 +0.10 0.57% 137602 0.07% 137602 24131 17.40 17.38 17.67 17.37 547497779 36100652 511322010 金融保险 7.64 15.880 15.991% 81877 55725 24131 14.310 0.88 17.54 56.74% 2660  + 41748132 36100652
29 '600037' 歌华有线 14.88 +0.14 0.95% 150139 1.29% 150139 22400 14.74 14.80 15.06 14.74 1402124 1738508 248784 文化传播 25.08 0.949 5.835% 86923 63216 22400 8.284  14.92 -4.27% -96  + 2070966 1738508
30 '600038' 中直股份 38.84 +0.38 0.99% 56259 1.43% 56259 21867 38.46 38.78 39.40 38.46 2171312 1525053 1508469 机械仪表 102.86① 0.459 0.841% 26782 29477 21867 11.219  38.87 4.31% 22  - 2289528 1525053
31 '600039' 四川路桥 3.74 -0.00 0.00% 102372 0.34% 102372 3845 3.74 3.75 3.78 3.73 5504234 1129380 4563496 建筑业 11.02 1.011 11.880% 57610 44762 3845 2.857  3.76 -34.39% -15350  + 1129380 1129380
32 '600048' 保利地产 8.29 +0.14 1.72% 422835 0.39% 422835 35133 8.15 8.18 8.41 8.17 40383322 8917316 30669283 房地产 7.21 1.653 17.264% 201791 221044 35133 6.649  8.31 -9.39% -1245  + 8917316 8917316
33 '600050' 中国联通 3.84 -0.00 0.00% 1044955 0.49% 1044955 40117 3.84 3.84 3.86 3.82 60148448 8139494 36702189 信息技术 139.13① 0.796 0.185% 627788 417167 40117 3.718  3.84 16.71% 32593  - 8139494 8139494
34 '600051' 宁波联合 9.97 +0.07 0.71% 34042 1.11% 34042 3418 9.90 9.90 10.18 9.86 810566 304875 606459 商业贸易 23.74 0.0633 6.781% 17727 16315 3418 6.035  10.04 -15.33% -138  - 309947 304875
35 '600052' 浙江广厦 6.21 +0.01 0.16% 39761 0.46% 39761 2481 6.20 6.20 6.28 6.17 951010 541381 765212 房地产 -38.81③ 0.114 -5.605% 20119 19642 2481 2.126  6.24 -4.14% -232  + 541381 541381
36 '600053' 九鼎投资 32.37 -0.04 -0.12% 32995 0.76% 32995 10844 32.41 32.72 33.55 32.30 459222 1403371 339052 房地产 48.98 1.155 24.774% 16565 16430 10844 2.668  32.86 -58.82% -740  + 1403371 1403371
37 '600054' 黄山旅游 24.08 -0.01 -0.04% 19810 1.68% 19810 4772 24.09 24.10 24.29 23.97 403671 283229 102707 社会服务 38.84 1.275 9.935% 13233 6577 4772 5.976 0.71 24.09 -65.94% -271  + 1024375 283229
38 '600055' 华润万东 26.95 +0.60 2.28% 40738 1.88% 40738 11051 26.35 26.58 27.72 26.48 133031 583333 61910 机械仪表 161.47 -0.0648 5.769% 16663 24075 11051 6.486  27.13 -58.84% -386  - 650670 583333
39 '600056' 中国医药 15.23 +0.65 4.46% 177287 1.80% 177287 26905 14.58 14.50 15.49 14.50 1615829 1495896 1011931 商业贸易 25.09 1.010 11.378% 75243 102044 26905 5.334  15.18 -35.02% -498  + 1542058 1495896
40 '600057' 象屿股份            2651801  2084310 社会服务  1.546 4.192%    4.636        
41 '600058' 五矿发展            3265460  2749580 商业贸易  1.332 -79.484%    4.640        
42 '600059' 古越龙山            440569  60035 食品饮料  0.07 3.534%    4.665        
43 '600060' 海信电器            2018385  854388 机械仪表  0.497 8.196%    8.654        
44 '600061' 国投安信            12818220  10180807 纺织服装  -1.698 2.455%    7.128        
45 '600062' 华润双鹤            776311  132920 生物医药  0.968 10.825%    8.429        
46 '600063' 皖维高新            744361  377416 石油化工  0.514 2.977%    2.230        
47 '600064' 南京高科            2264756  1317279 房地产  2.220 9.428%    11.619        
48 '600066' 宇通客车            3013913  1719975 机械仪表  2.714 27.489%    5.809        
49 '600067' 冠城大通            1988909  1115946 房地产  0.803 3.008%    4.747        
50 '600068' 葛洲坝              12762977  9952895 建筑业  -1.031 13.256%    4.396        
51 '600069' 银鸽投资            507553  267421 造纸印刷  0.0678 1.933%    1.938        
52 '600070' 浙江富润            209287  91162 纺织服装  0.0511 2.532%    2.644        
53 '600071' 凤凰光学            108718  46141 机械仪表  0.0307 3.870%    2.158        
54 '600072' 钢构工程            219210  97293 机械仪表  0.174 1.947%    2.411        
55 '600073' 上海梅林            727749  378662 食品饮料  0.242 3.456%    3.355        
56 '600074' 保千里              266993  121749 石油化工  -0.0642 25.714%    0.630        
57 '600075' 新疆天业            351102  146015 石油化工  -0.178 2.598%    3.609        
58 '600076' 康欣新材            366247  112193 信息技术  0.0492 10.604%    2.456        
59 '600077' 宋都股份            1376799  983390 房地产  1.573 2.050%    2.822        
60 '600078' 澄星股份            567040  367245 石油化工  0.581 1.171%    2.698        
61 '600079' 人福医药            2010007  1051562 生物医药  0.0313 1.880%    6.163        
62 '600080' 金花股份            125825  20938 生物医药  0.0253 0.290%    3.433        
63 '600081' 东风科技            430317  277153 机械仪表  1.793 14.191%    3.442        
64 '600082' 海泰发展            362229  188172 综合类  -0.194 -0.296%    2.694        
65 '600083' 博信股份            11807  5902 商业贸易  -0.340 20.896%    0.219        
66 '600084' 中葡股份            392415  151392 食品饮料  -0.05 0.633%    2.180        
67 '600085' 同仁堂              1433987  346948 生物医药  0.607 12.295%    5.190        
68 '600086' 东方金钰            911589  634391 其他制造  -1.362 10.637%    2.034        
69 '600088' 中视传媒            144438  23699 文化传播  -0.155 3.474%    3.511        
70 '600089' 特变电工            7025941  4559044 机械仪表  0.633 9.032%    6.432        
71 '600090' 啤酒花              144575  61826 食品饮料  0.669 2.818%    1.236        
72 '600093' 禾嘉股份            980262  370506 机械仪表  -2.137 5.976%    4.988        
73 '600094' 大名城              3647638 1687751 2663974 房地产  -3.341 9.156%    2.483       1790889 1687751
74 '600095' 哈高科              113979  39104 综合类  0.598 2.028%    1.990        
75 '600096' 云天化              6707703  6007254 石油化工  2.124 1.796%    5.444        
76 '600097' 开创国际            130530  39046 农牧业  0.268 1.878%    4.500        
77 '600098' 广州发展            3509358  1713384 供水供电  0.959 6.832%    5.291        
78 '600099' 林海股份            60203  12816 机械仪表  -0.0875 0.271%    2.163        
79 '600100' 同方股份            5686084  3420500 信息技术  0.844 7.147%    5.956        
80 '600101' 明星电力            277577  83089 供水供电  0.116 1.590%    5.951        
81 '600103' 青山纸业            350861  221674 造纸印刷  -0.0332 -7.671%    1.088        
82 '600104' 上汽集团            51163069 18919872 30071341 机械仪表  2.358 17.013%    15.884       18919872 18919872
83 '600105' 永鼎股份            326750  105844 机械仪表  -0.143 5.542%    4.502        
84 '600106' 重庆路桥            734069  408318 建筑业  0.424 6.899%    3.589        
