code,hightAmplitude,lowAmplitude,totalAmplitude,totalDay,continueLimitUp
603991,0.00,0.00,0.0,0,0
600939,0.00,1.52,3.04,11,10
600209,2.96,3.00,11.88,44,0
603058,2.24,3.26,10.98,47,0
300601,0.00,0.39,0.78,21,20
002851,0.00,0.00,0.0,2,1
300374,2.66,2.08,9.46,50,0
002300,2.11,3.38,10.67,52,0
603345,0.00,0.00,0.00,10,9
603908,0.00,0.00,0.0,1,0
603603,0.00,1.28,2.57,13,12
603817,0.00,0.00,0.00,12,11
002850,0.00,0.00,0.0,4,3
300616,0.00,0.00,0.0,1,0
300613,0.00,1.39,2.78,12,11
603689,1.95,2.73,9.36,36,0
601212,0.00,1.37,2.73,12,11
002849,0.00,1.28,2.56,13,12
000595,3.32,3.79,14.15,47,0
603238,0.00,0.00,0.00,10,9
300609,0.00,1.11,2.22,15,14
300611,0.00,1.39,2.78,12,11
300617,0.00,2.78,5.55,6,5
002742,1.61,1.57,5.87,54,0
300618,0.00,0.00,0.0,2,1
603578,0.00,0.00,0.0,2,1
300619,0.00,0.00,0.0,5,4
603138,0.00,0.00,0.0,2,1
600577,0.00,0.00,0.0,4,3
002839,1.46,5.48,13.86,26,0
601858,2.36,3.27,11.25,30,0
300275,1.28,2.65,7.67,54,0
603029,1.96,1.78,7.32,54,0
600050,2.03,2.07,7.93,54,0
600622,1.20,1.65,5.30,54,0
300397,1.59,1.45,5.52,54,0
000836,1.43,1.76,5.80,54,0
002824,2.11,3.98,12.18,34,0
600599,2.18,2.51,9.23,54,0
002820,2.60,2.38,9.94,54,0
000736,2.01,1.86,7.48,54,0
603668,1.48,2.66,8.26,31,0
002490,1.53,1.95,6.54,54,1
600359,0.96,1.49,4.39,22,0
601882,2.52,2.89,10.80,51,0
300221,1.52,1.34,5.29,54,0
600008,0.63,0.79,1.70,46,0
603843,2.24,1.80,7.91,54,0
300116,2.06,1.62,7.15,54,0
002819,2.70,3.01,11.42,54,1
300510,3.09,2.32,10.76,54,0
600751,1.16,1.14,3.76,54,0
002843,1.90,2.57,8.94,28,0
300580,2.19,2.96,10.30,35,0
002511,1.38,1.52,5.31,54,0
603177,0.23,0.44,1.33,21,0
600647,2.11,2.29,8.72,54,1
600435,1.64,1.84,6.54,54,0
002608,1.59,1.73,6.35,44,0
300612,0.37,2.31,5.35,15,1
300596,1.30,2.21,7.02,29,0
000520,1.64,1.65,5.97,45,0
000915,1.56,1.45,5.68,54,0
000927,2.01,2.01,7.89,54,0
002842,1.99,2.75,9.48,29,0
002435,1.59,1.80,6.54,54,0
002524,2.16,2.45,9.10,54,0
002767,2.90,3.28,12.13,54,0
600095,1.67,1.62,6.15,54,0
000676,1.59,1.25,5.03,26,0
002346,3.42,6.24,19.32,42,0
603615,0.57,2.17,5.49,17,0
600872,1.26,1.36,4.80,54,0
002214,1.18,0.99,3.50,54,0
002265,3.22,3.34,13.09,54,0
002103,1.21,1.40,4.53,54,0
600640,1.77,1.42,5.79,47,0
600961,1.33,1.64,5.56,54,0
603101,1.53,1.57,5.74,54,0
300482,1.67,2.29,7.74,54,0
000710,2.51,1.85,8.69,47,0
603703,1.78,1.76,6.68,54,0
300577,2.21,2.55,9.53,49,0
300398,2.03,2.28,8.53,54,0
002718,1.32,1.11,4.19,54,0
002377,2.06,3.01,10.01,29,0
300357,1.07,1.28,3.80,54,0
600226,1.74,1.37,5.74,54,0
002455,1.67,2.03,7.29,54,0
000601,0.82,0.86,2.34,54,0
002828,2.44,1.92,8.71,54,0
300142,1.30,1.34,4.53,54,0
002840,1.81,2.98,9.58,36,0
300402,3.72,3.66,14.71,54,0
002192,2.00,1.72,7.11,54,0
600523,1.72,1.87,6.96,54,0
603701,1.71,1.42,5.76,54,0
002651,2.41,3.50,11.79,54,0
002656,2.23,1.96,8.27,48,0
600658,1.47,1.58,5.74,54,0
002591,2.01,2.58,9.10,49,0
300083,1.54,1.34,5.26,54,0
300304,3.33,3.23,13.10,54,0
002786,1.84,1.47,6.11,54,0
300471,1.10,1.40,4.30,54,0
603032,2.25,2.87,10.24,39,1
600230,1.63,2.11,7.39,54,0
600641,1.28,1.20,4.23,54,0
002427,0.96,1.17,3.50,54,0
600340,1.03,0.96,3.06,54,0
300136,1.56,1.56,6.15,54,0
002246,2.01,2.22,8.28,54,0
002846,0.49,2.46,5.89,21,0
600888,1.35,1.64,5.31,54,0
000885,3.49,3.86,14.69,51,0
002460,1.65,1.54,5.91,54,0
002845,1.56,1.54,6.21,25,0
600671,1.68,1.82,6.46,54,0
002359,1.26,1.21,4.38,54,0
600076,1.18,1.18,3.91,54,0
000828,1.40,1.51,5.43,54,0
601668,1.21,1.24,4.21,54,0
600054,0.64,0.90,2.10,54,0
002808,1.99,1.85,7.39,54,0
603186,1.72,2.57,8.58,41,0
600132,1.51,1.71,6.01,54,0
002180,1.31,1.03,4.02,54,0
002352,1.98,1.99,7.71,54,0
600172,1.03,1.31,3.99,54,0
002568,1.01,1.18,3.57,54,0
002702,1.77,1.49,5.86,54,0
603036,2.70,3.82,13.03,54,0
600996,1.90,2.19,7.91,46,0
600750,0.77,1.05,2.66,54,0
600864,1.04,0.99,3.11,54,0
600187,1.35,1.43,4.94,54,1
002650,0.95,1.08,3.15,54,0
002052,2.20,1.65,7.44,54,0
002169,1.71,1.64,6.34,54,0
300180,1.46,2.01,6.49,54,0
300291,1.14,1.53,4.59,54,0
