code,name,average,close,open,high,low,growth,average_growth
603999,读者传媒,7.75,7.9,7.14,7.9,7.14,10.028,-1.85
603998,方盛制药,0,0,0,0,0,0,0.00
603997,继峰股份,12.41,12.49,12.45,12.53,12.28,1.216,-0.66
603996,中新科技,16.87,17.01,16.79,17.06,16.67,1.917,-0.80
603993,洛阳钼业,8.57,8.55,8.64,8.69,8.48,-0.466,0.19
603991,至正股份,26.75,27.2,25.59,27.49,25.55,6.876,-1.65
603990,麦迪科技,41.13,40.94,41.69,41.69,40.55,0.442,0.47
603989,艾华集团,39.83,39.76,39.6,40.15,39.29,-0.525,0.17
603988,中电电机,30.26,30.36,30.57,30.69,30.06,-0.361,-0.34
603987,康德莱,12.19,12.22,12.09,12.33,12.08,1.327,-0.23
603986,兆易创新,192.81,191.43,190.97,197.0,188.96,0.126,0.72
603985,恒润股份,40.92,40.52,40.31,43.28,40.08,1.3,1.00
603980,吉华集团,19.46,19.33,19.2,19.85,19.2,2.983,0.69
603979,金诚信,9.46,9.44,9.45,9.52,9.41,0.212,0.25
603978,深圳新星,83.95,84.56,83.8,85.07,82.61,1.088,-0.72
603977,国泰集团,15.02,15.2,15.15,15.28,14.85,0.066,-1.17
603976,正川股份,26.72,27.0,26.0,27.45,25.7,3.567,-1.05
603970,中农立华,28.70,29.16,28.65,29.27,28.08,1.745,-1.58
603969,银龙股份,13.59,13.6,13.69,13.75,13.46,-0.22,-0.11
603968,醋化股份,19.38,19.3,19.35,19.5,19.2,0.104,0.42
603966,法兰泰克,15.58,15.52,15.45,15.85,15.36,-0.449,0.38
603963,大理药业,39.35,37.84,39.9,40.6,37.4,-1.612,3.99
603960,克来机电,32.75,32.68,32.67,33.19,32.09,0.0,0.22
603959,百利科技,35.06,34.78,35.44,35.5,34.51,-0.486,0.79
603958,哈森股份,12.17,12.32,12.02,12.34,11.9,2.924,-1.18
603955,大千生态,0,0,0,0,0,0,0.00
603939,益丰药房,59.24,59.3,57.8,60.0,57.55,3.853,-0.11
603938,三孚股份,34.76,34.57,34.65,35.28,34.11,0.553,0.55
603937,丽岛新材,23.26,23.13,23.72,24.43,22.76,-0.942,0.57
603936,博敏电子,21.29,21.18,21.49,21.51,20.98,-0.563,0.52
603933,睿能科技,44.97,44.45,44.6,46.08,44.0,1.046,1.16
603929,亚翔集成,25.62,25.44,25.8,26.08,25.3,-1.319,0.71
603928,兴业股份,14.92,14.95,14.65,15.1,14.56,2.327,-0.19
603926,铁流股份,25.82,25.34,25.52,26.49,25.33,1.441,1.88
603922,金鸿顺,26.43,26.64,25.85,26.86,25.73,3.497,-0.79
603920,世运电路,17.13,17.25,17.11,17.27,16.92,0.524,-0.67
603919,金徽酒,16.04,16.08,16.07,16.18,15.93,0.0,-0.24
603918,金桥信息,20.00,20.23,19.94,20.54,19.5,-3.298,-1.14
603917,合力科技,25.70,25.89,25.36,26.17,25.22,1.609,-0.74
603916,苏博特,16.24,16.36,16.04,16.5,15.75,2.699,-0.74
603912,佳力图,27.22,27.0,26.81,27.69,26.81,0.746,0.81
603909,合诚股份,28.82,28.97,28.66,28.99,28.47,1.507,-0.51
603908,牧高笛,31.36,31.55,30.92,31.68,30.75,2.635,-0.60
603906,龙蟠科技,14.43,14.52,14.15,14.6,14.15,2.47,-0.60
603903,中持股份,33.84,34.5,33.08,34.53,32.81,4.356,-1.90
603901,永创智能,8.26,8.33,8.28,8.34,8.2,1.585,-0.78
603900,莱绅通灵,26.36,26.49,26.1,26.7,26.0,1.533,-0.49
603899,晨光文具,31.23,31.07,31.88,31.99,30.64,-1.208,0.51
603898,好莱客,28.05,28.1,27.94,28.18,27.88,0.898,-0.19
603897,长城科技,27.97,27.97,27.97,27.97,27.97,9.988,-0.00
603896,寿仙谷,49.47,49.19,50.02,50.48,48.87,-2.246,0.56
